repository_url,api_technical_name,version,snow_business_application_id,snow_application_service_id,platform,lifecycle_status,classification,api_contract_url,documentation_url,api_hosting_country,gateway_type,gateway_proxy_url,gateway_config_url,consumer_application_service_ids,consuming_country_code,consuming_group_member_code
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-201-acct-srch-sa.git,gdt-mds-gcdu-201-acct-srch-sa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-201-acct-srch-sa/blob/GCDU-CHILD_ECB/src/main/resources/raml/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/SWIFT+Pre-Validation+-+API+Contract-POL-GCDU,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-104-gcd-pa.git,gdt-mds-gcdu-104-gcd-pa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-104-gcd-pa/blob/GCDU-CHILD_ECB/gdt-mds-gcdu-104-gcd-pa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/TRB+API+-+Contract+information,UK,KONG,https://digitalprod-int-rbwm.systems.uk.hsbc/gdt-mds-gcdu-104-gcd-pa-prod-internal-proxy/v1/api/dao/gcdu/party/v1/getDetails,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-206-trb-sa.git,gdt-mds-gcdu-206-trb-sa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-206-trb-sa/blob/GCDU-ECB_CHILD/gdt-mds-gcdu-206-trb-sa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/TRB+API+-+Contract+information,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-103-sabb-pa.git,gdt-mds-gcdu-103-sabb-pa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-103-sabb-pa/blob/GCDU-ECB_CHILD/gdt-mds-gcdu-103-sabb-pa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/MPMPS/Documentation+of+GCDU+APIs+used+in+SABB+GVGT,UK,KONG,https://digitalprod-int-rbwm.systems.uk.hsbc/gdt-mds-gcdu-103-sabb-pa-prod-internal-proxy/v0/api/dao/gcdu/party/v1/customer/validate,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-204-sabb-cust-info-sa.git,gdt-mds-gcdu-204-sabb-cust-info-sa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-204-sabb-cust-info-sa/blob/ecb-child/gdt-mds-gcdu-204-sabb-cust-info-sa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/MPMPS/Documentation+of+GCDU+APIs+used+in+SABB+GVGT,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-105-mobilex-pa.git,gdt-mds-gcdu-105-mobilex-pa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-105-mobilex-pa/blob/GCDU-CHILD_ECB/gdt-mds-gcdu-105-mobilex-pa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/API+Contract-PAPI+-+Indonesia+Mobile+-X,UK,KONG,https://digitalprod-int-rbwm.systems.uk.hsbc/gdt-mds-gcdu-105-mobilex-pa-prod-internal-proxy/v0/api/dao/gcdu/party/v1/samecustomer/validate,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-205-sabb-cust-identifer-sa.git,gdt-mds-gcdu-205-cust-identifer-sa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-205-sabb-cust-identifer-sa/blob/GCDU-CHILD_ECB/gdt-mds-gcdu-205-cust-identifer-sa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/API+Contract-PAPI+-+Indonesia+Mobile+-X,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-107-gtff-pa.git,gdt-mds-gcdu-107-gtff-pa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-107-gtff-pa/blob/GCDU-CHILD_ECB/gdt-mds-gcdu-107-gtff-pa/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/GTFF+API+Changes+Specification+-+GCDU#tab-RequestBody,UK,KONG,https://digitalprod-int-rbwm.systems.uk.hsbc/gdt-mds-gcdu-107-gtff-pa-prod-internal-proxy/v0/api/dao/gcdu/customers/v1/getAccountInfo,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-207-gtff-sa.git,gdt-mds-gcdu-207-gtff-sa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-207-gtff-sa/blob/GCDU-ECB_CHILD/gdt-mds-gcdu-207-gtff-sa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/GTFF+API+Changes+Specification+-+GCDU#tab-RequestBody,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-106-p1pa-pa.git,gdt-mds-gcdu-106-p1pa-pa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-106-p1pa-pa/blob/GCDU-CHILD_ECB/gdt-mds-gcdu-106-p1pa-pa/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/P1PA+API+Changes+Specification+-+GCDU,UK,KONG,https://digitalprod-int-rbwm.systems.uk.hsbc/gdt-mds-gcdu-106-p1pa-pa-prod-internal-proxy/v0/api/dao/gcdu/customers/v1/getEligibilityMarkers,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-208-p1pa-sa.git,gdt-mds-gcdu-208-p1pa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-208-p1pa-sa/blob/GCDU-CHILD_ECB/gdt-mds-gcdu-208-p1pa-sa/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/P1PA+API+Changes+Specification+-+GCDU,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-209-Name-Search-sa.git,gdt-mds-gcdu-209-Name-Search-sa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-209-Name-Search-sa/blob/GCDU-CHILD_ECB/gdt-mds-gcdu-209-name-srch-sa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/209+Mappings+for+delta+date+range+API%27s,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-210-delta-sa.git,gdt-mds-gcdu-210-delta-sa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-210-delta-sa/blob/Child-Master-ECB/gdt-mds-gcdu-210-delta-sa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/210,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-202-browser-sa.git,gdt-mds-gcdu-202-browser-sa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-202-browser-sa/blob/GCDU-PROD-ECB/gdt-mds-gcdu-202-browser-sa-api/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/GCDU+Browser+Modernization,UK,NA as its SAPI,NA as its SAPI,,,Global,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-automg-service,cis-automg-app,1.0.1.0,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,codap-automg-service/api.yaml at ikp_master · GBM-CIS-Mastergroup/codap-automg-service,https://wpb-confluence.systems.uk.hsbc/display/MPMPS/CIS+MG-Creation,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-cache-refdata,cis-refdata-app,3.1.9.10,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-web,cis-web-app,5.3.6.51,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-service-bulk,cis-bulk-app,3.5.3.62,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-prci-service,cis-prci-app,1.0.0.0,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-prci-service/blob/ikp_master/api.yaml,https://gbmt-confluence.prd.fx.gbm.cloud.uk.hsbc/display/EDD/CIS+And+PRCI+Integration,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-horis-service,cis-horis-app,1.0.0.1,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-gs,cis-gs-app,3.4.2.34,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,https://gbmt-confluence.prd.fx.gbm.cloud.uk.hsbc/display/EDD/Mastergroup+GS+API,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/cis-cmeentitlements-service,cis-cmedataload-service-app,1.0.1.12,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/cis-ace-service,cis-ace-app,1.0.0.7,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/cis-ace-service/blob/ikp_master/src/main/resources/cis-ace-service.yaml,https://gbmt-confluence.prd.fx.gbm.cloud.uk.hsbc/display/EDD/CIS+And+CARM+Integration+-+ACE+Recording,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/cis-industry-hierarchy-service,cis-industry-hierarchy-app,1.0.0.2,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-gs/blob/ikp_migration/api/cis-industry-hierarchy-batch-api/api.yaml,https://gbmt-confluence.prd.fx.gbm.cloud.uk.hsbc/display/EDD/Mastergroup+GS+API,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/cis-grid-cin-mapping,cis-cin-grid-app,1.0.0.25,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-publication,cis-publication-app,3.3.5.8,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-client-list-provisioning,cis-client-provisioning-app,2.4.1.33,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/cis-party-service,cis-party-app,1.1.7.13,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/mastergroup-ngt-listener-service,cis-ngt-listener-app,1.4.2.1,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/mastergroup-search-service,cis-search-app,1.2.15.61,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,codap-mastergroup-gs/api/cis-mastergroup-search-api/api.yaml at ikp_master · GBM-CIS-Mastergroup/codap-mastergroup-gs,https://gbmt-confluence.prd.fx.gbm.cloud.uk.hsbc/display/EDD/Mastergroup+GS+API,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-activiti-service,cis-activiti-app,3.0.3.0,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-service-core,cis-core-app,6.1.6.32,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-mastergroup-cache-trandata,cis-trandata-app,3.0.9.13,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/GBM-CIS-Mastergroup/codap-auth-token,cis-auth-token-app,3.1.5.1,BA0002017,AS0002017,IKP,ACTIVE,INTERNAL,codap-mastergroup-gs/api/cis-auth-token-api/api.yaml at ikp_master · GBM-CIS-Mastergroup/codap-mastergroup-gs,https://gbmt-confluence.prd.fx.gbm.cloud.uk.hsbc/display/EDD/Mastergroup+GS+API,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/gbm-bigdata-it-data-products/trade-recon-restapi,trade-recon-restapi,1.132.0,BA0013533,AS0013533,On Prem,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/gbm-bigdata-it-data-products/mcm-surveillance-api,mcm-surveillance-api,0.18,BA0013533,AS0013533,On Prem,ACTIVE,INTERNAL,,,UK,,,,,UK,
https://alm-github.systems.uk.hsbc/gbm-bigdata-it-data-products/cbtm-api,cbtm-api,0.2,BA0013533,AS0013533,On Prem,ACTIVE,INTERNAL,,,UK,,,,,UK,
